PCT,First Name,Last Name,Attendance,Votes Available Legend,"Remote Town
Meeting Vote","Article 1:
Reports","Consent
Agenda:
Articles 2-6","Article 7: A)
Appropriation
of Capital
Expeditures","Article 7: B)
Appropriation
of Capital
Expenditures","Article 8:
OPEB
Stabilization
Fund","Motion to
Terminate
Debate:
Discussion
on Article 9
Crockett
Amendment","Article 9
Crockett
Amendment:
FY21 Budget
Appropriation","Motion to
Terminate
Debate:
Discussion on
Article 9 Main
Motion","Aricle 9: FY21
Budget
Appropriation
Main Motion","Aricle 10: FY21
Community
Preservation
Committee
Budget and
Projects","Motion to
Terminate
Debate:
Discussion
on Article 11","Article 11:
Community
Preservation
Committee
Amend 2018
Appropriation
for Belmont
Housing","Article 12: Home
Rule Petition for
Special Act of the
Massachusetts
Legislature -
Remote
Participation of
Town Meeting"
5,Elaine,Alligood,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
3,Lot,Bates,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Seth,Belcher,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Stephen,Carlini,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Joseph,DeStefano,-,,-,-,-,-,-,-,-,-,-,-,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor
AL,Stephen,Fiore,-,,-,-,-,-,-,-,-,-,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,-
4,Linda,Ghilardi,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Anne,Goldenberg,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Daniel John,Healey,-,,-,-,Yes / In Favor,-,-,-,-,-,-,-,-,-,-,-
5,Christopher,Howe,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Abigail,Jacobs,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Brian,Keefe,Here,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,-,-,-
