pct,first name,last name,attendance,votes available legend,remote town meeting vote,article 1: reports,consent agenda: articles 2-6,article 7: a) appropriation of capital expeditures,article 7: b) appropriation of capital expenditures,article 8: opeb stabilization fund,motion to terminate debate: discussion on article 9 crockett amendment,article 9 crockett amendment: fy21 budget appropriation,motion to terminate debate: discussion on article 9 main motion,aricle 9: fy21 budget appropriation main motion,aricle 10: fy21 community preservation committee budget and projects,motion to terminate debate: discussion on article 11,article 11: community preservation committee amend 2018 appropriation for belmont housing,article 12: home rule petition for special act of the massachusetts legislature - remote participation of town meeting,vote date
5,Elaine,Alligood,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
3,Lot,Bates,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
7,Seth,Belcher,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
5,Stephen,Carlini,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
2,Joseph,DeStefano,-,,-,-,-,-,-,-,-,-,-,-,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,06-16-2020
AL,Stephen,Fiore,-,,-,-,-,-,-,-,-,-,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,06-16-2020
4,Linda,Ghilardi,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
8,Anne,Goldenberg,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
3,Daniel John,Healey,-,,-,-,Yes / In Favor,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
5,Christopher,Howe,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
7,Abigail,Jacobs,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
4,Brian,Keefe,Here,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,-,-,-,06-16-2020
2,Kathleen,Keohane,Here,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,06-16-2020
8,Stephen,Kerins,-,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,No / Opposed,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,06-16-2020
2,Thomas,Lowery,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
4,Anne,Mahon,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
4,Shonool,Malik,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
3,Raffi,Manjikian,"Here, with gusto!",,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,J.A.,McSwain,-,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
3,diane,miller,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
5,Jaime,Murphy,-,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,06-16-2020
2,Devan,O'Toole,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
4,John,Occhino,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
5,Sandra,Occhino,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Abstain,Yes / In Favor,-,-,Yes / In Favor,06-16-2020
5,Tommasina,Olson,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
2,Karnig,Ostayan,-,,-,-,-,-,-,-,-,-,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
4,Lisa,Pargoli,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
1,Adriana,Poole,-,,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
AL,Andrea,Prestwich,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
6,Robert P,Reardon,-,,-,-,-,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,06-16-2020
5,Andres,Rojas,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
5,Michael,Russo,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,06-16-2020
6,Joel,Semuels,-,,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
6,Jamie,Shea,-,,-,-,-,-,-,-,-,-,-,-,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,06-16-2020
